country,region
AFG,EMR
AGO,AFR
ALB,EUR
AND,EUR
ARE,EMR
ARG,AMR
ARM,EUR
ATG,AMR
AUS,WPR
AUT,EUR
AZE,EUR
BDI,AFR
BEL,EUR
BEN,AFR
BFA,AFR
BGD,SEAR
BGR,EUR
BHR,EMR
BHS,AMR
BIH,EUR
BLR,EUR
BLZ,AMR
BOL,AMR
BRA,AMR
BRB,AMR
BRN,WPR
BTN,SEAR
BWA,AFR
CAF,AFR
CAN,AMR
CHE,EUR
CHL,AMR
CHN,WPR
CIV,AFR
CMR,AFR
COD,AFR
COG,AFR
COK,WPR
COL,AMR
COM,AFR
CPV,AFR
CRI,AMR
CUB,AMR
CYP,EUR
CZE,EUR
DEU,EUR
DJI,EMR
DMA,AMR
DNK,EUR
DOM,AMR
DZA,AFR
ECU,AMR
EGY,EMR
ERI,AFR
ESP,EUR
EST,EUR
ETH,AFR
FIN,EUR
FJI,WPR
FRA,EUR
FSM,WPR
GAB,AFR
GBR,EUR
GEO,EUR
GHA,AFR
GIN,AFR
GMB,AFR
GNB,AFR
GNQ,AFR
GRC,EUR
GRD,AMR
GTM,AMR
GUY,AMR
HND,AMR
HRV,EUR
HTI,AMR
HUN,EUR
IDN,SEAR
IND,SEAR
IRL,EUR
IRN,EMR
IRQ,EMR
ISL,EUR
ISR,EUR
ITA,EUR
JAM,AMR
JOR,EMR
JPN,WPR
KAZ,EUR
KEN,AFR
KGZ,EUR
KHM,WPR
KIR,WPR
KNA,AMR
KOR,WPR
KWT,EMR
LAO,WPR
LBN,EMR
LBR,AFR
LBY,EMR
LCA,AMR
LKA,SEAR
LSO,AFR
LTU,EUR
LUX,EUR
LVA,EUR
MAR,EMR
MCO,EUR
MDA,EUR
MDG,AFR
MDV,SEAR
MEX,AMR
MHL,WPR
MKD,EUR
MLI,AFR
MLT,EUR
MMR,SEAR
MNE,EUR
MNG,WPR
MOZ,AFR
MRT,AFR
MUS,AFR
MWI,AFR
MYS,WPR
NAM,AFR
NER,AFR
NGA,AFR
NIC,AMR
NIU,WPR
NLD,EUR
NOR,EUR
NPL,SEAR
NRU,WPR
NZL,WPR
OMN,EMR
PAK,EMR
PAN,AMR
PER,AMR
PHL,WPR
PLW,WPR
PNG,WPR
POL,EUR
PRK,SEAR
PRT,EUR
PRY,AMR
QAT,EMR
ROU,EUR
RUS,EUR
RWA,AFR
SAU,EMR
SDN,EMR
SEN,AFR
SGP,WPR
SLB,WPR
SLE,AFR
SLV,AMR
SMR,EUR
SOM,EMR
SRB,EUR
SSD,EMR
STP,AFR
SUR,AMR
SVK,EUR
SVN,EUR
SWE,EUR
SWZ,AFR
SYC,AFR
SYR,EMR
TCD,AFR
TGO,AFR
THA,SEAR
TJK,EUR
TKM,EUR
TLS,SEAR
TON,WPR
TTO,AMR
TUN,EMR
TUR,EUR
TUV,WPR
TZA,AFR
UGA,AFR
UKR,EUR
URY,AMR
USA,AMR
UZB,EUR
VCT,AMR
VEN,AMR
VNM,WPR
VUT,WPR
WSM,WPR
YEM,EMR
ZAF,AFR
ZMB,AFR
ZWE,AFR
