vaccine,country,year,coverage,coverage_subnat,age_first,age_last,mid_day
MCV1,AFG,1975,0.0183333333333333,,,,
MCV1,AFG,1976,0.0366666666666666,,,,
MCV1,AFG,1977,0.0550000000000001,,,,
MCV1,AFG,1978,0.0733333333333334,,,,
MCV1,AFG,1979,0.0916666666666667,,,,
MCV1,AFG,1980,0.11,,,,
MCV1,AFG,1981,0.0600000000000001,,,,
MCV1,AFG,1982,0.08,,,,
MCV1,AFG,1983,0.09,,,,
MCV1,AFG,1984,0.14,,,,
MCV1,AFG,1985,0.14,,,,
MCV1,AFG,1986,0.14,,,,
MCV1,AFG,1987,0.31,,,,
MCV1,AFG,1988,0.34,,,,
MCV1,AFG,1989,0.22,,,,
MCV1,AFG,1990,0.2,,,,
MCV1,AFG,1991,0.19,,,,
MCV1,AFG,1992,0.22,,,,
MCV1,AFG,1993,0.25,,,,
MCV1,AFG,1994,0.4,,,,
MCV1,AFG,1995,0.41,,,,
MCV1,AFG,1996,0.42,,,,
MCV1,AFG,1997,0.38,,,,
MCV1,AFG,1998,0.31,,,,
MCV1,AFG,1999,0.31,,,,
MCV1,AFG,2000,0.27,,,,
MCV1,AFG,2001,0.37,,,,
MCV1,AFG,2002,0.35,,,,
MCV1,AFG,2003,0.39,,,,
MCV1,AFG,2004,0.48,,,,
MCV1,AFG,2005,0.5,,,,
MCV1,AFG,2006,0.53,,,,
MCV1,AFG,2007,0.55,,,,
MCV1,AFG,2008,0.59,,,,
MCV1,AFG,2009,0.6,,,,
MCV1,AFG,2010,0.62,,,,
MCV1,AFG,2011,0.64,,,,
MCV1,AFG,2012,0.59,,,,
MCV1,AFG,2013,0.57,,,,
MCV1,AFG,2014,0.6,,,,
MCV1,AFG,2015,0.63,,,,
MCV1,AFG,2016,0.64,,,,
MCV1,AFG,2017,0.64,,,,
MCV1,AFG,2018,0.64,,,,
MCV1,AFG,2019,0.6531,,,,
MCV1,AFG,2020,0.6659,,,,
MCV1,AFG,2021,0.6785,,,,
MCV1,AFG,2022,0.6908,,,,
MCV1,AFG,2023,0.7029,,,,
MCV1,AFG,2024,0.7147,,,,
MCV1,AGO,1983,0.26,,,,
MCV1,AGO,1984,0.35,,,,
MCV1,AGO,1985,0.44,,,,
MCV1,AGO,1986,0.44,,,,
MCV1,AGO,1987,0.55,,,,
MCV1,AGO,1988,0.56,,,,
MCV1,AGO,1989,0.48,,,,
MCV1,AGO,1990,0.38,,,,
MCV1,AGO,1991,0.39,,,,
MCV1,AGO,1992,0.39,,,,
MCV1,AGO,1993,0.47,,,,
MCV1,AGO,1994,0.44,,,,
MCV1,AGO,1995,0.46,,,,
MCV1,AGO,1996,0.62,,,,
MCV1,AGO,1997,0.78,,,,
MCV1,AGO,1998,0.59,,,,
MCV1,AGO,1999,0.4,,,,
MCV1,AGO,2000,0.32,,,,
MCV1,AGO,2001,0.6,,,,
MCV1,AGO,2002,0.59,,,,
MCV1,AGO,2003,0.44,,,,
MCV1,AGO,2004,0.43,,,,
MCV1,AGO,2005,0.21,,,,
MCV1,AGO,2006,0.21,,,,
MCV1,AGO,2007,0.58,,,,
MCV1,AGO,2008,0.48,,,,
MCV1,AGO,2009,0.46,,,,
MCV1,AGO,2010,0.62,,,,
MCV1,AGO,2011,0.57,,,,
MCV1,AGO,2012,0.65,,,,
MCV1,AGO,2013,0.59,,,,
MCV1,AGO,2014,0.56,,,,
MCV1,AGO,2015,0.51,,,,
MCV1,AGO,2016,0.45,,,,
MCV1,AGO,2017,0.42,,,,
MCV1,AGO,2018,0.5,,,,
MCV1,AGO,2019,0.5079,,,,
MCV1,AGO,2020,0.5159,,,,
MCV1,AGO,2021,0.5238,,,,
MCV1,AGO,2022,0.5317,,,,
MCV1,AGO,2023,0.5396,,,,
MCV1,AGO,2024,0.5474,,,,
MCV1,ALB,1975,0.15,,,,
MCV1,ALB,1976,0.3,,,,
MCV1,ALB,1977,0.45,,,,
MCV1,ALB,1978,0.6,,,,
MCV1,ALB,1979,0.75,,,,
MCV1,ALB,1980,0.9,,,,
MCV1,ALB,1981,0.9,,,,
MCV1,ALB,1982,0.93,,,,
MCV1,ALB,1983,0.96,,,,
MCV1,ALB,1984,0.96,,,,
MCV1,ALB,1985,0.96,,,,
MCV1,ALB,1986,0.96,,,,
MCV1,ALB,1987,0.96,,,,
MCV1,ALB,1988,0.96,,,,
MCV1,ALB,1989,0.96,,,,
MCV1,ALB,1990,0.88,,,,
MCV1,ALB,1991,0.8,,,,
MCV1,ALB,1992,0.87,,,,
MCV1,ALB,1993,0.76,,,,
MCV1,ALB,1994,0.9,,,,
MCV1,ALB,1995,0.91,,,,
MCV1,ALB,1996,0.92,,,,
MCV1,ALB,1997,0.95,,,,
MCV1,ALB,1998,0.89,,,,
MCV1,ALB,1999,0.85,,,,
MCV1,ALB,2000,0.95,,,,
MCV1,ALB,2001,0.95,,,,
MCV1,ALB,2002,0.96,,,,
MCV1,ALB,2003,0.93,,,,
MCV1,ALB,2004,0.96,,,,
MCV1,ALB,2005,0.97,,,,
MCV1,ALB,2006,0.95,,,,
MCV1,ALB,2007,0.97,,,,
MCV1,ALB,2008,0.98,,,,
MCV1,ALB,2009,0.97,,,,
MCV1,ALB,2010,0.99,,,,
MCV1,ALB,2011,0.99,,,,
MCV1,ALB,2012,0.98,,,,
MCV1,ALB,2013,0.99,,,,
MCV1,ALB,2014,0.98,,,,
MCV1,ALB,2015,0.97,,,,
MCV1,ALB,2016,0.96,,,,
MCV1,ALB,2017,0.96,,,,
MCV1,ALB,2018,0.94,,,,
MCV1,ALB,2019,0.9433,,,,
MCV1,ALB,2020,0.9465,,,,
MCV1,ALB,2021,0.9495,,,,
MCV1,ALB,2022,0.9523,,,,
MCV1,ALB,2023,0.955,,,,
MCV1,ALB,2024,0.9575,,,,
MCV1,AND,1997,0.9,,,,
MCV1,AND,1998,0.9,,,,
MCV1,AND,1999,0.97,,,,
MCV1,AND,2000,0.97,,,,
MCV1,AND,2001,0.97,,,,
MCV1,AND,2002,0.98,,,,
MCV1,AND,2003,0.96,,,,
MCV1,AND,2004,0.98,,,,
MCV1,AND,2005,0.94,,,,
MCV1,AND,2006,0.91,,,,
MCV1,AND,2007,0.94,,,,
MCV1,AND,2008,0.98,,,,
MCV1,AND,2009,0.98,,,,
MCV1,AND,2010,0.99,,,,
MCV1,AND,2011,0.99,,,,
MCV1,AND,2012,0.98,,,,
MCV1,AND,2013,0.95,,,,
MCV1,AND,2014,0.96,,,,
MCV1,AND,2015,0.96,,,,
MCV1,AND,2016,0.97,,,,
MCV1,AND,2017,0.99,,,,
MCV1,AND,2018,0.99,,,,
MCV1,AND,2019,0.99,,,,
MCV1,AND,2020,0.98,,,,
MCV1,AND,2021,0.99,,,,
MCV1,AND,2022,0.9758,,,,
MCV1,AND,2023,0.9758,,,,
MCV1,AND,2024,0.9758,,,,
MCV1,ARE,1974,0.34,,,,
MCV1,ARE,1975,0.34,,,,
MCV1,ARE,1976,0.34,,,,
MCV1,ARE,1977,0.34,,,,
MCV1,ARE,1978,0.34,,,,
MCV1,ARE,1979,0.34,,,,
MCV1,ARE,1980,0.34,,,,
MCV1,ARE,1981,0.42,,,,
MCV1,ARE,1982,0.41,,,,
MCV1,ARE,1983,0.51,,,,
MCV1,ARE,1984,0.53,,,,
MCV1,ARE,1985,0.6,,,,
MCV1,ARE,1986,0.67,,,,
MCV1,ARE,1987,0.71,,,,
MCV1,ARE,1988,0.74,,,,
MCV1,ARE,1989,0.78,,,,
MCV1,ARE,1990,0.8,,,,
MCV1,ARE,1991,0.82,,,,
MCV1,ARE,1992,0.85,,,,
MCV1,ARE,1993,0.9,,,,
MCV1,ARE,1994,0.9,,,,
MCV1,ARE,1995,0.9,,,,
MCV1,ARE,1996,0.9,,,,
MCV1,ARE,1997,0.95,,,,
MCV1,ARE,1998,0.95,,,,
MCV1,ARE,1999,0.96,,,,
MCV1,ARE,2000,0.94,,,,
MCV1,ARE,2001,0.94,,,,
MCV1,ARE,2002,0.94,,,,
MCV1,ARE,2003,0.94,,,,
MCV1,ARE,2004,0.94,,,,
MCV1,ARE,2005,0.92,,,,
MCV1,ARE,2006,0.92,,,,
MCV1,ARE,2007,0.92,,,,
MCV1,ARE,2008,0.92,,,,
MCV1,ARE,2009,0.93,,,,
MCV1,ARE,2010,0.94,,,,
MCV1,ARE,2011,0.95,,,,
MCV1,ARE,2012,0.96,,,,
MCV1,ARE,2013,0.98,,,,
MCV1,ARE,2014,0.99,,,,
MCV1,ARE,2015,0.99,,,,
MCV1,ARE,2016,0.99,,,,
MCV1,ARE,2017,0.99,,,,
MCV1,ARE,2018,0.99,,,,
MCV1,ARE,2019,0.99,,,,
MCV1,ARE,2020,0.99,,,,
MCV1,ARE,2021,0.99,,,,
MCV1,ARE,2022,0.9791,,,,
MCV1,ARE,2023,0.9791,,,,
MCV1,ARE,2024,0.9791,,,,
MCV1,ARG,1975,0.101666666666667,,,,
MCV1,ARG,1976,0.203333333333333,,,,
MCV1,ARG,1977,0.305,,,,
MCV1,ARG,1978,0.406666666666667,,,,
MCV1,ARG,1979,0.508333333333333,,,,
MCV1,ARG,1980,0.61,,,,
MCV1,ARG,1981,0.77,,,,
MCV1,ARG,1982,0.67,,,,
MCV1,ARG,1983,0.67,,,,
MCV1,ARG,1984,0.79,,,,
MCV1,ARG,1985,0.54,,,,
MCV1,ARG,1986,0.87,,,,
MCV1,ARG,1987,0.8,,,,
MCV1,ARG,1988,0.87,,,,
MCV1,ARG,1989,0.89,,,,
MCV1,ARG,1990,0.93,,,,
MCV1,ARG,1991,0.99,,,,
MCV1,ARG,1992,0.92,,,,
MCV1,ARG,1993,0.95,,,,
MCV1,ARG,1994,0.96,,,,
MCV1,ARG,1995,0.99,,,,
MCV1,ARG,1996,0.99,,,,
MCV1,ARG,1997,0.93,,,,
MCV1,ARG,1998,0.95,,,,
MCV1,ARG,1999,0.97,,,,
MCV1,ARG,2000,0.91,,,,
MCV1,ARG,2001,0.89,,,,
MCV1,ARG,2002,0.95,,,,
MCV1,ARG,2003,0.97,,,,
MCV1,ARG,2004,0.99,,,,
MCV1,ARG,2005,0.98,,,,
MCV1,ARG,2006,0.97,,,,
MCV1,ARG,2007,0.94,,,,
MCV1,ARG,2008,0.96,,,,
MCV1,ARG,2009,0.96,,,,
MCV1,ARG,2010,0.95,,,,
MCV1,ARG,2011,0.95,,,,
MCV1,ARG,2012,0.94,,,,
MCV1,ARG,2013,0.94,,,,
MCV1,ARG,2014,0.95,,,,
MCV1,ARG,2015,0.89,,,,
MCV1,ARG,2016,0.9,,,,
MCV1,ARG,2017,0.89,,,,
MCV1,ARG,2018,0.94,,,,
MCV1,ARG,2019,0.86,,,,
MCV1,ARG,2020,0.77,,,,
MCV1,ARG,2021,0.81,,,,
MCV1,ARG,2022,0.8278,,,,
MCV1,ARG,2023,0.8278,,,,
MCV1,ARG,2024,0.8278,,,,
MCV1,ARM,1990,0.95,,,,
MCV1,ARM,1991,0.93,,,,
MCV1,ARM,1992,0.93,,,,
MCV1,ARM,1993,0.95,,,,
MCV1,ARM,1994,0.95,,,,
MCV1,ARM,1995,0.96,,,,
MCV1,ARM,1996,0.89,,,,
MCV1,ARM,1997,0.92,,,,
MCV1,ARM,1998,0.94,,,,
MCV1,ARM,1999,0.92,,,,
MCV1,ARM,2000,0.92,,,,
MCV1,ARM,2001,0.93,,,,
MCV1,ARM,2002,0.91,,,,
MCV1,ARM,2003,0.94,,,,
MCV1,ARM,2004,0.92,,,,
MCV1,ARM,2005,0.94,,,,
MCV1,ARM,2006,0.92,,,,
MCV1,ARM,2007,0.92,,,,
MCV1,ARM,2008,0.94,,,,
MCV1,ARM,2009,0.96,,,,
MCV1,ARM,2010,0.97,,,,
MCV1,ARM,2011,0.97,,,,
MCV1,ARM,2012,0.97,,,,
MCV1,ARM,2013,0.97,,,,
MCV1,ARM,2014,0.97,,,,
MCV1,ARM,2015,0.97,,,,
MCV1,ARM,2016,0.97,,,,
MCV1,ARM,2017,0.96,,,,
MCV1,ARM,2018,0.95,,,,
MCV1,ARM,2019,0.9515,,,,
MCV1,ARM,2020,0.9529,,,,
MCV1,ARM,2021,0.9543,,,,
MCV1,ARM,2022,0.9556,,,,
MCV1,ARM,2023,0.9569,,,,
MCV1,ARM,2024,0.9582,,,,
MCV1,ATG,1983,0.48,,,,
MCV1,ATG,1984,0.73,,,,
MCV1,ATG,1985,0.69,,,,
MCV1,ATG,1986,0.8,,,,
MCV1,ATG,1987,0.89,,,,
MCV1,ATG,1988,0.95,,,,
MCV1,ATG,1989,0.95,,,,
MCV1,ATG,1990,0.89,,,,
MCV1,ATG,1991,0.87,,,,
MCV1,ATG,1992,0.99,,,,
MCV1,ATG,1993,0.99,,,,
MCV1,ATG,1994,0.91,,,,
MCV1,ATG,1995,0.93,,,,
MCV1,ATG,1996,0.99,,,,
MCV1,ATG,1997,0.93,,,,
MCV1,ATG,1998,0.99,,,,
MCV1,ATG,1999,0.99,,,,
MCV1,ATG,2000,0.95,,,,
MCV1,ATG,2001,0.97,,,,
MCV1,ATG,2002,0.99,,,,
MCV1,ATG,2003,0.99,,,,
MCV1,ATG,2004,0.97,,,,
MCV1,ATG,2005,0.99,,,,
MCV1,ATG,2006,0.99,,,,
MCV1,ATG,2007,0.99,,,,
MCV1,ATG,2008,0.99,,,,
MCV1,ATG,2009,0.99,,,,
MCV1,ATG,2010,0.98,,,,
MCV1,ATG,2011,0.99,,,,
MCV1,ATG,2012,0.98,,,,
MCV1,ATG,2013,0.96,,,,
MCV1,ATG,2014,0.93,,,,
MCV1,ATG,2015,0.91,,,,
MCV1,ATG,2016,0.88,,,,
MCV1,ATG,2017,0.99,,,,
MCV1,ATG,2018,0.96,,,,
MCV1,ATG,2019,0.93,,,,
MCV1,ATG,2020,0.89,,,,
MCV1,ATG,2021,0.85,,,,
MCV1,ATG,2022,0.99,,,,
MCV1,ATG,2023,0.99,,,,
MCV1,ATG,2024,0.99,,,,
MCV1,AUS,1983,0.68,,,,
MCV1,AUS,1984,0.68,,,,
MCV1,AUS,1985,0.68,,,,
MCV1,AUS,1986,0.68,,,,
MCV1,AUS,1987,0.68,,,,
MCV1,AUS,1988,0.77,,,,
MCV1,AUS,1989,0.85,,,,
MCV1,AUS,1990,0.86,,,,
MCV1,AUS,1991,0.86,,,,
MCV1,AUS,1992,0.86,,,,
MCV1,AUS,1993,0.86,,,,
MCV1,AUS,1994,0.86,,,,
MCV1,AUS,1995,0.87,,,,
MCV1,AUS,1996,0.87,,,,
MCV1,AUS,1997,0.85,,,,
MCV1,AUS,1998,0.82,,,,
MCV1,AUS,1999,0.88,,,,
MCV1,AUS,2000,0.91,,,,
