vaccine,country,year,coverage
MCV1,AGO,1983,0.26
MCV1,AGO,1984,0.35
MCV1,AGO,1985,0.44
MCV1,AGO,1986,0.44
MCV1,AGO,1987,0.55
MCV1,AGO,1988,0.56
MCV1,AGO,1989,0.48
MCV1,AGO,1990,0.38
MCV1,AGO,1991,0.39
MCV1,AGO,1992,0.39
MCV1,AGO,1993,0.47
MCV1,AGO,1994,0.44
MCV1,AGO,1995,0.46
MCV1,AGO,1996,0.62
MCV1,AGO,1997,0.78
MCV1,AGO,1998,0.59
MCV1,AGO,1999,0.4
MCV1,AGO,2000,0.32
MCV1,AGO,2001,0.6
MCV1,AGO,2002,0.59
MCV1,AGO,2003,0.44
MCV1,AGO,2004,0.43
MCV1,AGO,2005,0.21
MCV1,AGO,2006,0.21
MCV1,AGO,2007,0.58
MCV1,AGO,2008,0.48
MCV1,AGO,2009,0.46
MCV1,AGO,2010,0.62
MCV1,AGO,2011,0.57
MCV1,AGO,2012,0.65
MCV1,AGO,2013,0.59
MCV1,AGO,2014,0.56
MCV1,AGO,2015,0.51
MCV1,AGO,2016,0.45
MCV1,AGO,2017,0.42
MCV1,AGO,2018,0.5
MCV1,AGO,2019,0.5079
MCV1,AGO,2020,0.5159
MCV1,AGO,2021,0.5238
MCV1,AGO,2022,0.5317
MCV1,AGO,2023,0.5396
MCV1,AGO,2024,0.5474
MCV1,CHN,1983,0.78
MCV1,CHN,1984,0.84
MCV1,CHN,1985,0.88
MCV1,CHN,1986,0.63
MCV1,CHN,1987,0.77
MCV1,CHN,1988,0.95
MCV1,CHN,1989,0.95
MCV1,CHN,1990,0.98
MCV1,CHN,1991,0.92
MCV1,CHN,1992,0.87
MCV1,CHN,1993,0.81
MCV1,CHN,1994,0.75
MCV1,CHN,1995,0.8
MCV1,CHN,1996,0.84
MCV1,CHN,1997,0.83
MCV1,CHN,1998,0.83
MCV1,CHN,1999,0.84
MCV1,CHN,2000,0.84
MCV1,CHN,2001,0.85
MCV1,CHN,2002,0.85
MCV1,CHN,2003,0.85
MCV1,CHN,2004,0.86
MCV1,CHN,2005,0.86
MCV1,CHN,2006,0.93
MCV1,CHN,2007,0.94
MCV1,CHN,2008,0.97
MCV1,CHN,2009,0.99
MCV1,CHN,2010,0.99
MCV1,CHN,2011,0.99
MCV1,CHN,2012,0.99
MCV1,CHN,2013,0.99
MCV1,CHN,2014,0.99
MCV1,CHN,2015,0.99
MCV1,CHN,2016,0.99
MCV1,CHN,2017,0.99
MCV1,CHN,2018,0.99
MCV1,CHN,2019,0.99
MCV1,CHN,2020,0.99
MCV1,CHN,2021,0.98
MCV1,CHN,2022,0.98
MCV1,CHN,2023,0.98
MCV1,CHN,2024,0.98
MCV1,COD,1975,0.03
MCV1,COD,1976,0.0600000000000001
MCV1,COD,1977,0.09
MCV1,COD,1978,0.12
MCV1,COD,1979,0.15
MCV1,COD,1980,0.18
MCV1,COD,1981,0.23
MCV1,COD,1982,0.25
MCV1,COD,1983,0.3
MCV1,COD,1984,0.3
MCV1,COD,1985,0.4
MCV1,COD,1986,0.39
MCV1,COD,1987,0.41
MCV1,COD,1988,0.44
MCV1,COD,1989,0.41
MCV1,COD,1990,0.38
MCV1,COD,1991,0.17
MCV1,COD,1992,0.25
MCV1,COD,1993,0.33
MCV1,COD,1994,0.39
MCV1,COD,1995,0.27
MCV1,COD,1996,0.21
MCV1,COD,1997,0.2
MCV1,COD,1998,0.2
MCV1,COD,1999,0.15
MCV1,COD,2000,0.46
MCV1,COD,2001,0.35
MCV1,COD,2002,0.42
MCV1,COD,2003,0.49
MCV1,COD,2004,0.57
MCV1,COD,2005,0.61
MCV1,COD,2006,0.63
MCV1,COD,2007,0.68
MCV1,COD,2008,0.64
MCV1,COD,2009,0.72
MCV1,COD,2010,0.74
MCV1,COD,2011,0.74
MCV1,COD,2012,0.72
MCV1,COD,2013,0.76
MCV1,COD,2014,0.77
MCV1,COD,2015,0.79
MCV1,COD,2016,0.77
MCV1,COD,2017,0.8
MCV1,COD,2018,0.8
MCV1,COD,2019,0.8084
MCV1,COD,2020,0.8165
MCV1,COD,2021,0.8244
MCV1,COD,2022,0.8319
MCV1,COD,2023,0.8393
MCV1,COD,2024,0.8463
MCV1,ETH,1975,0.00666666666666671
MCV1,ETH,1976,0.0133333333333333
MCV1,ETH,1977,0.02
MCV1,ETH,1978,0.0266666666666666
MCV1,ETH,1979,0.0333333333333333
MCV1,ETH,1980,0.04
MCV1,ETH,1981,0.03
MCV1,ETH,1982,0.0700000000000001
MCV1,ETH,1983,0.0700000000000001
MCV1,ETH,1984,0.08
MCV1,ETH,1985,0.12
MCV1,ETH,1986,0.1
MCV1,ETH,1987,0.13
MCV1,ETH,1988,0.15
MCV1,ETH,1989,0.23
MCV1,ETH,1990,0.38
MCV1,ETH,1991,0.17
MCV1,ETH,1992,0.12
MCV1,ETH,1993,0.22
MCV1,ETH,1994,0.54
MCV1,ETH,1995,0.38
MCV1,ETH,1996,0.54
MCV1,ETH,1997,0.51
MCV1,ETH,1998,0.44
MCV1,ETH,1999,0.37
MCV1,ETH,2000,0.36
MCV1,ETH,2001,0.35
MCV1,ETH,2002,0.36
MCV1,ETH,2003,0.35
MCV1,ETH,2004,0.35
MCV1,ETH,2005,0.4
MCV1,ETH,2006,0.44
MCV1,ETH,2007,0.49
MCV1,ETH,2008,0.54
MCV1,ETH,2009,0.59
MCV1,ETH,2010,0.64
MCV1,ETH,2011,0.68
MCV1,ETH,2012,0.62
MCV1,ETH,2013,0.55
MCV1,ETH,2014,0.54
MCV1,ETH,2015,0.65
MCV1,ETH,2016,0.66
MCV1,ETH,2017,0.65
MCV1,ETH,2018,0.61
MCV1,ETH,2019,0.622
MCV1,ETH,2020,0.6338
MCV1,ETH,2021,0.6454
MCV1,ETH,2022,0.6569
MCV1,ETH,2023,0.6682
MCV1,ETH,2024,0.6793
MCV1,IDN,1983,0.0600000000000001
MCV1,IDN,1984,0.13
MCV1,IDN,1985,0.26
MCV1,IDN,1986,0.45
MCV1,IDN,1987,0.48
MCV1,IDN,1988,0.51
MCV1,IDN,1989,0.54
MCV1,IDN,1990,0.58
MCV1,IDN,1991,0.61
MCV1,IDN,1992,0.65
MCV1,IDN,1993,0.68
MCV1,IDN,1994,0.66
MCV1,IDN,1995,0.63
MCV1,IDN,1996,0.79
MCV1,IDN,1997,0.77
MCV1,IDN,1998,0.77
MCV1,IDN,1999,0.77
MCV1,IDN,2000,0.76
MCV1,IDN,2001,0.76
MCV1,IDN,2002,0.72
MCV1,IDN,2003,0.74
MCV1,IDN,2004,0.76
MCV1,IDN,2005,0.77
MCV1,IDN,2006,0.79
MCV1,IDN,2007,0.76
MCV1,IDN,2008,0.76
MCV1,IDN,2009,0.74
MCV1,IDN,2010,0.78
MCV1,IDN,2011,0.8
MCV1,IDN,2012,0.82
MCV1,IDN,2013,0.81
MCV1,IDN,2014,0.75
MCV1,IDN,2015,0.75
MCV1,IDN,2016,0.76
MCV1,IDN,2017,0.75
MCV1,IDN,2018,0.75
MCV1,IDN,2019,0.753
MCV1,IDN,2020,0.7561
MCV1,IDN,2021,0.759
MCV1,IDN,2022,0.762
MCV1,IDN,2023,0.7649
MCV1,IDN,2024,0.7679
MCV1,IND,1985,0.01
MCV1,IND,1986,0.1
MCV1,IND,1987,0.24
MCV1,IND,1988,0.32
MCV1,IND,1989,0.42
MCV1,IND,1990,0.56
MCV1,IND,1991,0.43
MCV1,IND,1992,0.51
MCV1,IND,1993,0.59
MCV1,IND,1994,0.67
MCV1,IND,1995,0.72
MCV1,IND,1996,0.66
MCV1,IND,1997,0.55
MCV1,IND,1998,0.53
MCV1,IND,1999,0.56
MCV1,IND,2000,0.56
MCV1,IND,2001,0.57
MCV1,IND,2002,0.56
MCV1,IND,2003,0.6
MCV1,IND,2004,0.64
MCV1,IND,2005,0.68
MCV1,IND,2006,0.69
MCV1,IND,2007,0.7
MCV1,IND,2008,0.72
MCV1,IND,2009,0.78
MCV1,IND,2010,0.82
MCV1,IND,2011,0.84
MCV1,IND,2012,0.83
MCV1,IND,2013,0.83
MCV1,IND,2014,0.85
MCV1,IND,2015,0.87
MCV1,IND,2016,0.88
MCV1,IND,2017,0.9
MCV1,IND,2018,0.9
MCV1,IND,2019,0.9055
MCV1,IND,2020,0.9108
MCV1,IND,2021,0.9157
MCV1,IND,2022,0.9205
MCV1,IND,2023,0.925
MCV1,IND,2024,0.9292
MCV1,MDG,1984,0.01
MCV1,MDG,1985,0.06
MCV1,MDG,1986,0.18
MCV1,MDG,1987,0.28
MCV1,MDG,1988,0.36
MCV1,MDG,1989,0.44
MCV1,MDG,1990,0.47
MCV1,MDG,1991,0.54
MCV1,MDG,1992,0.54
MCV1,MDG,1993,0.54
MCV1,MDG,1994,0.63
MCV1,MDG,1995,0.55
MCV1,MDG,1996,0.46
MCV1,MDG,1997,0.46
MCV1,MDG,1998,0.51
MCV1,MDG,1999,0.55
MCV1,MDG,2000,0.57
MCV1,MDG,2001,0.59
MCV1,MDG,2002,0.61
MCV1,MDG,2003,0.65
MCV1,MDG,2004,0.79
MCV1,MDG,2005,0.74
MCV1,MDG,2006,0.71
MCV1,MDG,2007,0.81
MCV1,MDG,2008,0.7
MCV1,MDG,2009,0.63
MCV1,MDG,2010,0.66
MCV1,MDG,2011,0.62
MCV1,MDG,2012,0.61
MCV1,MDG,2013,0.63
MCV1,MDG,2014,0.64
MCV1,MDG,2015,0.58
MCV1,MDG,2016,0.59
MCV1,MDG,2017,0.6
MCV1,MDG,2018,0.62
MCV1,MDG,2019,0.6243
MCV1,MDG,2020,0.6286
MCV1,MDG,2021,0.6328
MCV1,MDG,2022,0.6371
MCV1,MDG,2023,0.6413
MCV1,MDG,2024,0.6455
MCV1,MWI,1975,0.0816666666666667
MCV1,MWI,1976,0.163333333333333
MCV1,MWI,1977,0.245
MCV1,MWI,1978,0.326666666666667
MCV1,MWI,1979,0.408333333333333
MCV1,MWI,1980,0.49
MCV1,MWI,1981,0.64
MCV1,MWI,1982,0.64
MCV1,MWI,1983,0.58
MCV1,MWI,1984,0.5
MCV1,MWI,1985,0.49
MCV1,MWI,1986,0.6
MCV1,MWI,1987,0.79
MCV1,MWI,1988,0.82
MCV1,MWI,1989,0.84
MCV1,MWI,1990,0.81
MCV1,MWI,1991,0.85
MCV1,MWI,1992,0.91
MCV1,MWI,1993,0.87
MCV1,MWI,1994,0.83
MCV1,MWI,1995,0.9
MCV1,MWI,1996,0.9
MCV1,MWI,1997,0.87
MCV1,MWI,1998,0.9
MCV1,MWI,1999,0.82
MCV1,MWI,2000,0.73
MCV1,MWI,2001,0.81
MCV1,MWI,2002,0.69
MCV1,MWI,2003,0.77
MCV1,MWI,2004,0.8
MCV1,MWI,2005,0.82
MCV1,MWI,2006,0.85
MCV1,MWI,2007,0.83
MCV1,MWI,2008,0.88
MCV1,MWI,2009,0.92
MCV1,MWI,2010,0.93
MCV1,MWI,2011,0.96
MCV1,MWI,2012,0.9
MCV1,MWI,2013,0.88
MCV1,MWI,2014,0.85
MCV1,MWI,2015,0.87
MCV1,MWI,2016,0.81
MCV1,MWI,2017,0.83
MCV1,MWI,2018,0.87
MCV1,MWI,2019,0.8737
MCV1,MWI,2020,0.8773
MCV1,MWI,2021,0.8809
MCV1,MWI,2022,0.8843
MCV1,MWI,2023,0.8877
MCV1,MWI,2024,0.8909
MCV1,NGA,1981,0.55
MCV1,NGA,1984,0.09
MCV1,NGA,1985,0.17
MCV1,NGA,1986,0.28
MCV1,NGA,1987,0.36
MCV1,NGA,1988,0.46
MCV1,NGA,1989,0.59
MCV1,NGA,1990,0.54
MCV1,NGA,1991,0.57
MCV1,NGA,1992,0.43
MCV1,NGA,1993,0.4
MCV1,NGA,1994,0.41
MCV1,NGA,1995,0.44
MCV1,NGA,1996,0.38
MCV1,NGA,1997,0.38
MCV1,NGA,1998,0.38
MCV1,NGA,1999,0.35
MCV1,NGA,2000,0.33
MCV1,NGA,2001,0.32
MCV1,NGA,2002,0.3
MCV1,NGA,2003,0.34
MCV1,NGA,2004,0.37
MCV1,NGA,2005,0.41
MCV1,NGA,2006,0.44
MCV1,NGA,2007,0.41
MCV1,NGA,2008,0.53
MCV1,NGA,2009,0.64
MCV1,NGA,2010,0.56
MCV1,NGA,2011,0.49
MCV1,NGA,2012,0.42
MCV1,NGA,2013,0.42
MCV1,NGA,2014,0.44
MCV1,NGA,2015,0.43
MCV1,NGA,2016,0.65
MCV1,NGA,2017,0.65
MCV1,NGA,2018,0.65
MCV1,NGA,2019,0.6542
MCV1,NGA,2020,0.6584
MCV1,NGA,2021,0.6626
MCV1,NGA,2022,0.6668
MCV1,NGA,2023,0.6709
MCV1,NGA,2024,0.675
MCV1,PAK,1975,0.00166666666666671
MCV1,PAK,1976,0.0033333333333333
MCV1,PAK,1977,0.005
MCV1,PAK,1978,0.00666666666666671
MCV1,PAK,1979,0.0083333333333333
MCV1,PAK,1980,0.01
MCV1,PAK,1981,0.02
MCV1,PAK,1982,0.03
MCV1,PAK,1983,0.19
MCV1,PAK,1984,0.33
MCV1,PAK,1985,0.38
MCV1,PAK,1986,0.41
