vaccine,country,year,coverage,coverage_subnat,mid_day,a0,a1
SIA,AGO,1997,0.0571486,0.0571486,180,53,159
SIA,AGO,1999,0.01203129,0.01203129,180,53,159
SIA,AGO,2003,0.92974745,0.92974745,180,53,168
SIA,AGO,2006,0.87866898,0.87866898,180,53,159
SIA,AGO,2009,0.84305906,0.84305906,180,53,159
SIA,AGO,2011,1,1,180,53,159
SIA,AGO,2014,1,1,180,53,163
SIA,AGO,2017,0.95566899,0.95566899,180,53,168
SIA,AGO,2018,0.90496214,0.90496214,180,53,168
SIA,AGO,2019,0.03014096,0.03014096,180,1,159
SIA,AGO,2020,0.8999998,0.8999998,180,53,158
SIA,CHN,1998,0.00134667,0.00134667,180,53,173
SIA,CHN,1999,0.00169132,0.00169132,180,53,161
SIA,CHN,2003,0.00341774,0.00341774,180,1,166
SIA,CHN,2004,0.03359306,0.03359306,180,1,166
SIA,CHN,2005,0.01232898,0.01232898,180,1,1
SIA,CHN,2005,0.01346611,0.01346611,180,53,168
SIA,CHN,2005,0.00437828,0.00437828,180,169,179
SIA,CHN,2006,0.02235314,0.02235314,180,1,168
SIA,CHN,2007,0.07736692,0.07736692,180,1,168
SIA,CHN,2008,0.117664,0.117664,180,1,160
SIA,CHN,2008,0.13563823,0.13563823,180,161,168
SIA,CHN,2009,0.1931416,0.1931416,180,1,168
SIA,CHN,2010,1,1,180,1,158
SIA,COD,1996,0.13347206,0.13347206,180,53,159
SIA,COD,1997,0.06181059,0.06181059,180,53,157
SIA,COD,1999,0.23041221,0.23041221,180,53,159
SIA,COD,2000,0.16879407,0.16879407,180,53,159
SIA,COD,2002,0.25399815,0.25399815,180,53,169
SIA,COD,2003,0.00478693,0.00478693,180,53,169
SIA,COD,2004,0.36956149,0.36956149,180,53,169
SIA,COD,2005,0.28949915,0.28949915,180,53,169
SIA,COD,2006,0.24683617,0.24683617,180,53,159
SIA,COD,2006,0.27981442,0.27981442,180,160,169
SIA,COD,2007,0.35996659,0.35996659,180,53,159
SIA,COD,2008,0.25942029,0.25942029,180,53,159
SIA,COD,2009,0.21528299,0.21528299,180,53,159
SIA,COD,2010,0.10867035,0.10867035,180,53,159
SIA,COD,2011,0.16482322,0.16482322,180,53,159
SIA,COD,2012,0.0324934,0.0324934,180,53,159
SIA,COD,2012,0.01025463,0.01025463,180,160,168
SIA,COD,2013,0.18464573,0.18464573,180,53,163
SIA,COD,2013,0.03751926,0.03751926,180,164,168
SIA,COD,2014,0.17770246,0.17770246,180,53,163
SIA,COD,2014,0.04839605,0.04839605,180,164,164
SIA,COD,2015,0.05581949,0.05581949,180,1,159
SIA,COD,2015,0.03472768,0.03472768,180,160,164
SIA,COD,2015,0.03293565,0.03293565,180,165,168
SIA,COD,2015,0.03211417,0.03211417,180,169,169
SIA,COD,2016,0.3901209,0.3901209,180,53,159
SIA,COD,2017,0.81669368,0.81669368,180,53,158
SIA,COD,2019,0.01160996,0.01160996,180,1,159
SIA,COD,2020,0.03939302,0.03939302,180,1,1
SIA,COD,2020,0.03235047,0.03235047,180,53,159
SIA,COD,2020,0.00412212,0.00412212,180,160,164
SIA,COD,2020,0.00348786,0.00348786,180,165,168
SIA,ETH,1998,0.00560031,0.00560031,180,53,159
SIA,ETH,1999,0.06857611,0.06857611,180,53,159
SIA,ETH,2000,0.25247413,0.25247413,180,53,159
SIA,ETH,2001,0.13426647,0.13426647,180,53,159
SIA,ETH,2002,0.076144,0.076144,180,53,168
SIA,ETH,2003,0.16533942,0.16533942,180,53,168
SIA,ETH,2004,0.23345908,0.23345908,180,53,168
SIA,ETH,2005,0.0391109,0.0391109,180,53,159
SIA,ETH,2005,0.00418545,0.00418545,180,160,168
SIA,ETH,2006,0.7547382,0.7547382,180,53,159
SIA,ETH,2007,0.07885777,0.07885777,180,53,159
SIA,ETH,2008,0.78999463,0.78999463,180,53,159
SIA,ETH,2009,0.02254234,0.02254234,180,53,159
